MÚSICA,ARTISTA,URI,REGIÃO
Só Tapão Nervoso Vs Toma Catucada Violenta,['DJ DN'],2BEGTomoM88uGMOzRmZirl,SÃO PAULO
Amor ou o Litrão,"['Petter Ferraz', 'Menor Nico']",7qmnP8Woc47dLSrMD5MxL1,SÃO PAULO
Revoada de Ladrão,['Various Artists'],7oEXvxRHvBodsbxRzEsgx7,SÃO PAULO
100 Likes - Ao Vivo,"['Sorriso Maroto', 'Belo']",6kbC245NmdhHIz5tRnYa40,SÃO PAULO
Privilégio,"['MC Luan da BS', 'Mc Vitin do LJ', 'MC Marley']",2ASs0n7ukfyxAxDtdir4vF,SÃO PAULO
Facas - Ao Vivo,"['Diego & Victor Hugo', 'Bruno & Marrone']",1ere9b9vDw2N3m9d4uiXxa,SÃO PAULO
Esquema Preferido,['DJ Ivis'],27X3qzgB0Show6qfw5wNOK,SÃO PAULO
MUSA DO INVERNO,['Lagum'],4dyAtcaBVmMmnR5bwg3u50,SÃO PAULO
Tudo Indica (feat. Jorge & Mateus) - Ao Vivo,['Marcos & Belutti'],0eoMMLrWtXbLk64baeESkc,SÃO PAULO
Volta Marcada,"['Avine Vinny', 'Japinha Conde']",75CS36Nn8aetRR5eksZMbB,SÃO PAULO
Isca,"['Jonas Esticado', 'Wesley Safadão']",5zdIuIo9uQ2E8ly4rypcRi,SÃO PAULO
Cali Dreams (feat. The Beach),"['Vintage Culture', 'Fancy Inc', 'The Beach']",4S5uBAB6Jl4IsMzwBpt2Rf,SÃO PAULO
Azul Sem Fim,['Grupo Revelação'],6HA8gaQ27DPIYkEUxrucpm,SÃO PAULO
Oyá - Sorriso Negro - Ao Vivo,['Prettos'],6RfYsRGucJTyOjrM65vFSL,SÃO PAULO
Tristinha,['Ferrugem'],3gNhPpKri5wFDD3LbBp2LG,SÃO PAULO
Radar,['Gloria Groove'],0V4LaOkdQm1sJwNerXcxMl,SÃO PAULO
Fé no pobre louco,"['MC Marks', 'Mc Robs']",0e4wC7k1gI5g7bJoVSHRic,SÃO PAULO
Um Sabadão Desse Uma Lua Dessa,"['Mc Talibã', 'MC 3L']",3KfyRuNdcCGsZb15sqrXDA,SÃO PAULO
Teu Céu,['Melim'],5WexHsvZI4jPk1cyLtjWVr,SÃO PAULO
Você Não é de Bar - Ao Vivo,"['Fernando & Sorocaba', 'Guilherme & Benuto']",5KFEB8X5Xmpmsv5j8rHjML,SÃO PAULO
Gigante,['Kawe'],7rJK5hWRhsG40Ga9zp7DlO,SÃO PAULO
Quer Esquecer sua Ex Mulher Vem Pro Cabaré,"['Nêgo Jhá', 'Mc Pierre', 'Dj Guuga']",3xBYCXi1LBsQPGE08M3iAP,SÃO PAULO
Razão das Minhas Biritas,['Luíza & Maurílio'],3qqfukkcLElVkOWFyzHmSk,SÃO PAULO
Mega Rave Sem Chão,['Dj GBR'],7BF6gQYLwyObNDItOFyX6z,SÃO PAULO
Letícia,['Zé Vaqueiro'],2R1OgezGfBMeiAcMpJ1EkH,SÃO PAULO
Pulei na Piscina - Ao Vivo,['Guilherme & Benuto'],1uA7fD01YlQr1Rm0oyNB4H,SÃO PAULO
É Tudo Pra Ontem,"['Emicida', 'Gilberto Gil']",1FpjfHwVh1ziha91Ng2o4P,SÃO PAULO
Tudo Menos Isso,['Pixote'],0dxIWFmv5qPhYIEXJ2wFSx,SÃO PAULO
Dangerous - Extended Mix,['Lemex'],7B3ss8TF7kCkyEATOU9nl4,CURITIBA
Contradição,['Koda Leo'],6MkzVqpJPBMNg42uW5wHCF,CURITIBA
